text,sentiment
"I am taking Avadart and thought I would try Prostalex, because I am still having trouble going at night. I took theProstalex for 30 days and noticed no improvement.",negative
"It was with much amusement that I read Nicko McBrain describe the new music as ""underground, progressive"" (how everyone loves throwing that word around) and believe it or not ""cutting edge."" Think of the opposite of those words and there you have A matter of life and death. There is a forcedness about everything they do now, no real passion and while they drop a handful of new ideas in places, it still is quite dismal. I'm sorry to say this about a band I like but they should try harder or pack it in.",negative
Cate Blanchett rocked these stunning gold statement drop earrings at the 5th AACTA Awards! redcarpet https://t.co/kgTinhuvU3,positive
Manturov: Russia and Iran may begin the payments in national currencies https://t.co/HBVOA6xntY #news #Russia,neutral
We bought some vintage jars at a thrift store and needed the gasket to make the seal. These were perfect and the price in comparison to other sites was the lowest.,neutral
"I may need to fact check, but I'm pretty sure that Kendrick is only the 2nd rapper to have his 1st 2 albums nominated for AOTY.",positive
@davidnorecuador @haaretzcom U may want to check this out! Racism in Israel! https://t.co/dUNLNtic9L,negative
"This Xmas I miss many, but most of all Jason Rezaian (again!) who spends his 523rd day and 2nd Xmas jailed in Iran #freejason #pressfreedom",neutral
"I love all of David Handler's books. . . the Hoagy series, especially. This book is as enjoyable as all of the others in the series. It's a little less suspenseful - you can pretty much figure out the murderer early on - but the twists and turns keep you on an interestingly winding trail to the conclusion. I recommend this and every other David Handler book out there. I wish he'd write MORE MORE MORE!",positive
Tomorrow is Thor's Day. He's allowed on the team because his hammer is powered by lightning. No hammers on the team without electricity!,positive
"The Thrive is a good Tablet, the problem is Honeycomb is not polished enough. There are some glitches here and there. G+ app is useless on the Thrive. This is a Toshiba problem, from what I've read. Other tablets seem to ironed out a few more issues behind the scenes. If the Thrive had ICS I think it would be one of the best, but the rumor is that Toshiba is not updating it. So if I were in the Market, I would buy something that has or is getting ICS. Honeycomb will be on the back burner now, with Ice Cream Sandwich rolling out to all new stuff.",neutral
It 's too interested in jerking off in all its Byzantine incarnations to bother pleasuring its audience .,negative
"The movie has a script ( by Paul Pender ) made of wood , and it 's relentlessly folksy , a procession of stagy set pieces stacked with binary oppositions .",negative
"@mynamesnotmilan @maarebear ""oh Milan just texted me. OHHH aw no she can't come ova Monday!"" Literally a direct quote",negative
